pl_name,pl_bmasse,pl_rade,pl_eqt,st_teff,sy_dist
TOI-1836 c,8.0,2.59987579,2007.6,6237.0,191.649
TOI-1181 b,374.71969185,17.02644168,1942.12,6054.0,302.819
Kepler-1587 b,2.33,1.33,981.0,5933.0,1026.48
TOI-1246 c,9.1,2.45109846,862.49,5213.0,169.422
Kepler-482 b,6.17,2.36,352.0,4871.0,313.068
TOI-5634 A b,588.0,10.42,837.0,3896.0,306.144
Kepler-1070 b,3.64,1.73,1101.0,6261.0,939.001
HD 68402 b,2510.8444153,12.6,,5950.0,78.4293
Kepler-736 b,8.91,2.93,996.0,5217.0,1005.43
K2-69 b,5.99,2.32,,4127.0,180.697
TOI-469.01,9.1,3.41,716.0,5289.0,68.192
Kepler-649 b,5.73,2.26,564.0,5871.0,513.748
K2-25 b,24.5,3.44,494.0,3207.0,44.9565
TOI-6034 b,254.0,11.92,714.0,3635.0,117.992
Kepler-1237 b,8.55,2.86,366.0,5472.0,1064.31
TOI-1710 b,22.4,5.20315158,602.99,5684.0,81.2271
TOI-1694 c,297.0,13.8,,5058.0,124.68
TOI-1736 c,2800.0,12.5,249.0,5636.0,88.9482
TOI-1272 b,27.0,4.13204907,975.0,5065.0,137.572
TOI-1272 c,21.7,4.95,697.0,5065.0,137.572
HD 93963 A b,2.8,1.46954368,1842.23,5908.0,82.3432
HD 564 b,104.88,12.5,,5902.0,51.1659
Kepler-111 b,3.12,1.58,1356.0,5952.0,657.223
TIC 393818343 b,1379.37528638,12.18416202,805.5,5756.0,93.7345
Kepler-466 b,8.5,2.85,503.0,5927.0,530.122
Kepler-1401 b,3.46,1.68,808.0,5964.0,1425.43
Kepler-928 b,3.15,1.59,894.0,4700.0,508.809
Kepler-1361 b,0.566,0.86,1061.0,5131.0,389.143
K2-58 b,7.65,2.68,,5413.0,181.746
TAP 26 b,527.5978,13.5,,4620.0,121.402
Kepler-879 c,0.0364,0.4,,5456.75,802.672
HD 21520 b,17.7,2.697,637.0,5871.0,79.208
Kepler-192 d,1.04,1.02,926.0,5487.0,651.674
Kepler-939 b,3.71,1.75,692.0,5471.0,2093.62
Kepler-1873 b,3.28,1.62573811,1787.0,5151.0,820.957
Kepler-282 e,56.2,3.1,484.0,5656.0,1337.61
Kepler-1357 b,2.18,1.28,1177.0,5597.0,1015.69
HD 93963 A c,18.4,3.11976057,1212.45,5908.0,82.3432
Kepler-1320 b,3.53,1.7,1389.0,4817.0,647.424
Kepler-1807 b,7.77,2.70393215,1108.0,6455.0,1299.32
BD-14 3065 b,3932.0,21.59,2001.0,6935.0,589.423
TOI-3071 b,68.2,7.16,2155.0,6177.0,485.219
TOI-1386 b,45.8,6.2163865,615.03,5735.0,146.858
TOI-1288 b,44.1,4.96846551,1203.44,5388.0,114.865
HD 135694 b,6.1,2.857,750.83,5712.0,73.8713
Kepler-1845 b,6.52,2.43836702,584.0,4703.0,710.724
Kepler-90 i,2.3,1.32,709.0,6015.0,848.254
HD 194490 b,3561.90295725,12.4,,5861.32,80.2349
TOI-1630.01,6.42,2.417,584.0,5504.0,66.0929
TOI-1782.02,4.04,1.839,974.95,4336.0,95.2649
WASP-148 b,91.21675281,8.47398941,940.0,5555.0,246.353
K2-99 b,276.51071409,11.88151954,1184.0,6069.0,519.229
TOI-1659.01,5.71,2.255,1031.14,5977.0,122.494
Kepler-992 b,3.26,1.62,510.0,4944.0,259.639
TOI-2048 b,7.32,2.61,646.0,5185.0,116.567
Kepler-1273 b,6.76,2.49,573.0,5566.0,1114.24
TOI-3757 b,85.3,12.0,759.0,3913.0,181.139
TOI-375 c,669.34662514,13.4,596.0,5259.9,396.213
TOI-3568 b,26.4,5.3,899.0,4969.0,197.906
KOINTREAU-4 b,4862.7746271,12.2,,3252.0,145.434
AU Mic d,1.053,1.02,,3678.0,9.7221
TOI-1798.02,5.6,1.464,1935.83,5165.0,113.181
TOI-1798.01,6.5,2.448,734.31,5165.0,113.181
Kepler-1899 b,3.02,1.55098292,851.0,4791.0,711.509
Kepler-613 b,5.86,2.29,713.0,5723.0,861.494
Kepler-393 b,2.21,1.29,1052.0,6189.0,881.404
TOI-4638.01,8.92,2.933,779.83,5700.0,168.248
Kepler-713 b,6.71,2.48,905.0,5785.0,1089.87
TOI-2570 b,260.61929374,13.64132951,1431.0,5771.0,361.857
K2-150 b,4.66,2.0,,3499.0,102.483
HD 20868 b,397.2875,13.7,,4802.0,47.7223
TOI-1452 b,4.82,1.672,326.0,3185.0,30.5212
K2-212 b,7.51,2.65,542.0,4349.0,109.218
EPIC 228836835 b,1.37,1.1,932.0,3782.0,150.124
Kepler-183 c,35.7,2.27,857.0,5888.0,1050.64
Kepler-131 b,16.13,2.41,718.0,5685.0,228.678
Kepler-951 b,26.7,5.59,340.0,4834.0,382.509
TOI-2458 b,13.31,2.83,1509.4,6005.0,112.958
TOI-4562 c,1833.86990839,12.8,,6096.0,339.605
TOI-4562 b,732.0,12.53,318.0,6096.0,339.605
Kepler-1860 b,1.55,1.13863767,697.0,5420.0,438.703
TOI-3693 b,324.18497514,12.59889431,801.0,5321.0,176.436
Kepler-732 b,5.39,2.18,407.0,3631.0,174.826
WASP-72 b,731.009,14.45961,2210.0,6250.0,434.754
WASP-99 b,772.3269,11.43318,1480.0,6150.0,158.66
TOI-2200 b,38.7,6.96310517,1147.0,5036.17,251.245
TOI-2193 A b,298.75870258,19.83989584,1763.0,5966.0,337.064
TOI-2207 b,203.41018048,11.1529358,1259.0,6101.0,373.345
Kepler-1040 b,4.98,2.08,300.0,5694.0,482.119
TOI-1716.01,10.0,3.143,959.0,5879.0,104.158
Kepler-901 b,2.45,1.37,704.0,4184.0,253.867
TOI-260 b,4.23,1.71,493.0,4026.0,20.1852
L 168-9 b,4.07,1.63,998.0,3842.0,25.1496
K2-167 b,6.5,2.36509493,1220.0,6310.0,80.8994
TOI-1768.01,11.8,3.453,1566.0,5994.0,157.597
Kepler-597 b,6.21,2.37,743.0,5683.0,663.418
HD 100655 b,511.7063,13.5,,4891.0,137.178
Kepler-203 b,7.13,2.57,1308.0,5821.0,703.302
Kepler-520 c,1.24,1.07,1107.0,6112.0,623.901
HR 8799 e,3178.3,13.11453,1150.0,7400.0,41.2441
TOI-1130 c,336.0,13.0,650.0,4360.0,58.2609
TOI-1184 b,6.8,2.39,715.47,4534.0,58.5946
TOI-1772.01,8.78,2.905,877.67,5583.0,97.7562
Kepler-330 b,2.39,1.35,714.0,5117.0,717.527
TOI-5005 b,32.7,6.25,1040.0,5749.0,207.891
Kepler-167 c,3.44,1.674,771.0,4884.0,341.908
HD 180902 b,535.54355,13.5,,4961.0,104.577
